"","GSM452235","GSM452236","GSM452237","GSM452238","GSM452239","GSM452240","GSM452241","GSM452242","GSM452243","GSM452244","GSM452245","GSM452246","GSM452247","GSM452248","GSM452249","GSM452250","GSM452251","GSM452252","GSM452253","GSM452254","GSM452255","GSM452256","GSM452257","GSM452258","GSM452259","GSM452260"
"ZNF165",-1.03686613614323,-0.863067649224386,-0.944932891944747,-1.048909322296,-1.03311228601117,0.106352767030761,-1.06105798486477,-0.456087453170362,0.187569607362147,-0.37934503343413,0.217846890148707,-0.2270848306655,-0.0977052382256359,-0.824811908274854,0.345984081435723,-1.04844189523134,-0.216086416170316,-0.851489669580152,0.549642386589327,2.71595032704292,0.094084194431146,1.73173323503799,1.14741609587734,0.678334716908,1.73813953946331,0.575944873909225
"CASP7",0.864150402946948,-0.140531990471587,1.15101885034007,0.960125696174337,0.272239366156889,-0.0338454406760186,0.413281054206649,0.805999234475947,0.0884439409528862,0.232414488220509,0.082099347218609,0.23382946955693,1.75319991295899,0.54208239295371,1.05922003428308,1.0685847763537,-0.248831314693614,-0.0463216202014558,-1.81176948988969,-2.01536704637705,-0.35959544511457,-1.66809563225712,-1.50256563817542,-0.424517223206083,0.301870292529803,-1.57711841826645
"CYP7A1",-0.603349247284414,-0.410885100583191,-0.00441119729935695,-0.596864017004524,-0.667499130340102,-0.536392527909639,-0.61137007912352,0.349828943210313,-0.4050860869201,-0.523549702503522,-0.605569644133551,-0.629571591125859,-0.632797434608641,-0.670591369096333,-0.673307240495214,-0.17043354728914,-0.569598987765225,-0.565510683132746,-0.609343266995195,1.52712252439171,1.31836371782796,2.85073886503093,2.01163295859671,-0.32991210833165,1.72587803238664,0.0324779204976673
"ABCF2",0.172465575127725,0.244950715068282,-0.600400213236601,-0.653251461066156,-1.24221402989905,-0.167262307857225,-0.572373916138089,-0.613445602908146,-0.979378460783755,0.046076265698663,-0.51925363134053,-0.69770256183718,-1.07621628512303,-0.108616119867936,-1.44268915245241,0.0210306659435013,-0.0846737652333651,-0.483541393235237,1.32473736046315,2.62778597894596,1.31945339699085,0.695326341577446,-0.489065360909212,0.386649969942732,0.676551819349852,2.21505617277976
"CD160",-0.883761597923445,0.477335989575624,1.31633514018072,-0.349174849420803,-0.233782184493752,-0.860589396657551,-0.676999566909178,-0.775289449861586,-0.944845679110055,-0.752095852287967,-1.23470145985711,-1.06657165112363,-0.615283105960926,1.17181496833773,-0.864084126919259,-0.795813263704662,-0.847704064672208,-0.129479939070692,-0.0543788989568531,1.59581846641634,0.422758763304861,1.22509177457233,0.465016471061223,1.35415905750302,0.708088036284376,2.34813641969346
"PDIA6",1.19018157606096,-0.961000040136342,-0.676294381181925,-0.95739767290405,-0.167101806856316,-0.882840648953648,1.16142365697004,0.460125923162766,1.97185458629011,0.388010779886449,0.637814833852217,0.0463734809494141,1.18206833994808,-0.0410754525848093,2.04881733164502,1.0393861221245,0.345760933332054,0.273442394164328,-1.00104982113199,-1.40763255817317,-0.164457660267997,-1.3732191033239,-0.602935133036489,-1.07191294969897,-0.440092992442737,-0.998249737693594
"PDIA4",1.22122140889727,-0.958132670594101,-0.698055835302113,-0.636499130974198,-0.292321735034172,-0.62857006181616,0.901220819825833,0.557084307772882,2.61461642845308,0.140126378035555,2.00484527740046,1.05682008416464,0.892154216633293,-0.553019043435888,0.91060006450777,-0.0127240461310847,0.00126786298673907,0.25345410807323,-1.14601096624598,-1.1532353895856,-0.433741505361516,-0.739201860241412,-0.851812919788006,-0.836993713190545,-0.770629544729504,-0.842462534320475
"KPNB1",-0.0835036429710842,-0.14567143181261,0.815012100320271,0.31975913188902,0.416775573448306,-0.31530237371818,1.2029004695696,0.779512991980516,-0.810772160690096,0.454541421076829,2.05156765928447,0.403589064020601,-0.0367102597403355,2.04474773064175,-0.144784446873527,0.00584530655923734,1.09062788705808,0.134793205925521,-0.80740161792158,-1.25219499870721,-0.479059504249376,-1.79705210708728,-1.46177771334673,0.00600299277062978,-0.66859833034326,-1.72284694708357
"SORBS3",-0.469573272762324,0.399281506714127,-0.84697554342965,-0.35327612566302,-0.152180080854329,-0.242460144562723,-0.443349722891232,-0.809590115744503,-0.54632574496475,-0.115316009867741,-0.588643299293785,-0.179450957898632,-0.613794146223152,-0.596942329041861,-0.0427874496788591,-0.460950125243684,-0.285322124470784,-0.609253037103183,0.0356813472303275,0.660755732369624,0.0991438373955993,3.64660706900047,0.119306038923934,-0.192659045410128,-0.0490275818452371,2.63710132531549
"KLHDC10",1.84572709634014,-0.164258367848897,-0.2862785264478,0.286776839479412,-0.140745708869576,-0.0335196948781752,0.834283324331508,1.81683556748829,0.89101523493559,0.975497428969092,0.501562231256658,0.512265912008006,-0.53512108425206,1.37583431004502,1.08154315493151,0.210430523996808,-0.222365779514741,-0.46415063536455,-0.754738749410036,-1.87154950668249,-0.339811946591673,-1.78786318116725,-1.33818845851357,-1.11558853887016,-0.298985393243241,-0.978606052127819
"VWA5A",1.7583267704928,1.88064552004721,-0.905346429590087,-0.193425317364635,0.0971941687736397,-0.229811063622718,0.760834194618174,-0.0723060979066409,0.871374225031351,-0.152707934647257,0.899429901175403,0.995642210992449,0.401041806252994,1.00265613002846,0.179078757994554,1.39541893590497,-0.661225394828327,-0.0539133030948626,-0.6314037438201,-1.47494329587527,-0.238574297382678,-1.58640296602903,-1.48654041948802,-0.142828471492018,-1.66014074667843,-0.752073139491937
"DDX52",0.456841532793458,0.704579807639439,1.83486380677188,0.227003894481331,0.441601486305052,-0.762362186278994,0.432149390090957,1.34988958620669,0.136263770826015,1.16315817433267,0.802554869137643,-0.0593362745328327,0.651368006730458,0.546368053971902,0.684928782917789,0.120346907571662,-0.394080511566833,0.297696238759096,-1.63712218390614,-2.15649036543605,0.470541237676604,-0.956818644688482,-1.63245914977385,-1.54392218138424,-1.04293774352802,-0.134626305117207
"ELK1",-0.783765329466888,-0.749374348890669,-0.460531676538447,-0.490772021527881,-0.651367902088839,-0.620329693325895,0.367063785639233,-0.849060814858578,-0.721898187684871,-0.687127894822885,-0.38352256270506,-0.690775687302867,1.01401068174249,0.0961272691220174,-0.803524447617424,-0.575685654603749,-0.643055004485054,-0.576593969464302,0.797904410119609,0.601039880502695,-0.336484932662382,1.40907678045105,2.96685856585688,1.87284054869299,1.3206723117031,-0.421724105784272
"TP53TG1",-0.506037022612868,-0.557302734039238,-0.946667710873423,-0.101198251293335,0.460264923100771,0.360838900704296,-1.43162049318501,-0.678036060189373,-0.851481382402052,-1.13337144842975,-0.427845747884625,-0.97517741537378,0.0224131329120615,-0.736390501161938,-0.852460889555313,-0.686082530063201,-0.179123487041679,-0.170489312875894,0.291572024483546,2.36012183463877,0.164236094559576,1.13682623434353,1.55327397933135,2.19404095509691,1.0708485673288,0.618848340481868
"POMZP3",-0.205951349058232,-0.490944022590038,-0.631969328367291,0.318545960376705,-0.136473971608858,-0.336128335308352,-0.812780824649742,-0.53715119927899,-0.838205594515513,-0.912127393761184,-0.411017056181605,-0.369543380950803,-0.555041385445882,0.372388827444299,-0.628718250199734,-0.496275619900301,-0.514728300975728,-0.469329977724871,-0.645761133909466,0.95425064928558,1.46589317001332,0.735618134583446,1.3813338088265,3.68650914588913,0.356866816044225,-0.279259388036615
"HLA-DQB1 /// LOC101060835",-0.807472426109902,-1.1321752409892,-0.143512934384615,-0.435852259663676,-0.391133156693983,1.08936820356107,-0.166445452085064,-0.422212023099786,-0.34951205864799,0.179582801275735,-0.766310741217116,-1.10769805491326,-0.914810408678948,-0.690502370034378,-0.31861869113801,-0.668616967596331,-0.661566275920513,0.0410549996902999,0.265780844259107,-0.262866737953193,0.266786352292541,0.137762335257595,1.59298903754812,0.364830320090487,2.86032789561885,2.44082300953216
