"ID","adj.P.Val","P.Value","t","B","logFC","GB_ACC","SPOT_ID","Gene.Symbol","Gene.Title"
"201026_at",0.049551216676068,9.24412272694822e-05,4.4801553342922,1.40234827782714,1.06915406186773,"AB018284","","EIF5B","eukaryotic translation initiation factor 5B"
"226177_at",0.049551216676068,8.99569909585682e-05,-4.48970443768404,1.39549799211145,-0.702750722573228,"AI052020","","GLTP","glycolipid transfer protein"
"222262_s_at",0.049551216676068,9.23405274006555e-05,4.4805374512107,1.3936671689096,1.28910445420906,"AL137750","","ETNK1","ethanolamine kinase 1"
"231835_at",0.0499912641128026,9.41765012093035e-05,-4.47363451932119,1.38593047957418,-0.875406522603851,"AL359575","","FAM213B","family with sequence similarity 213, member B"
"229369_at",0.0482541372979867,7.23790713617225e-05,-4.56581735878369,1.37350132901455,-1.4330649675162,"AI201858","","VSIG2","V-set and immunoglobulin domain containing 2"
"230748_at",0.0503123969193193,9.57016786394003e-05,-4.46800056167061,1.35206194450355,-1.02928099297771,"AI873273","","SLC16A6","solute carrier family 16, member 6"
"225312_at",0.0504903836971615,9.69636998299399e-05,-4.46340540845092,1.33703839865402,-0.611926430496643,"AV704551","","COMMD6","COMM domain containing 6"
"1562449_s_at",0.0453645189742902,4.86693684146724e-05,-4.70435378272043,1.33380451296903,-1.66674567865743,"BC043255","","LARGE-AS1","LARGE antisense RNA 1"
"210293_s_at",0.0510915749455392,9.93099120880273e-05,4.45501759082023,1.31574026676842,0.903472101795385,"BC005032","","SEC23B","Sec23 homolog B (S. cerevisiae)"
"236122_at",0.0510915749455392,0.000102738211264837,4.44310697442084,1.30674777254799,0.690010886587113,"H40696","","",""
"212397_at",0.0510915749455392,0.000102729333560008,4.44313730720603,1.30672771260211,1.1034649773144,"AL137751","","RDX","radixin"
"242443_at",0.0510915749455392,0.000102790548587276,-4.44292820416854,1.30435006958584,-0.975728666249024,"AW026978","","ZC3H14","zinc finger CCCH-type containing 14"
"228083_at",0.0526714898826433,0.000107471311301874,-4.42729311122078,1.26648962362165,-0.887918097714559,"AI433691","","CACNA2D4","calcium channel, voltage-dependent, alpha 2/delta subunit 4"
"221553_at",0.0526714898826433,0.000107895873193526,4.42590839498941,1.26247816749102,1.27749649421392,"AL136636","","MAGT1","magnesium transporter 1"
"214567_s_at",0.0530687239035247,0.000109680215840847,-4.42014698058821,1.24344564953145,-1.68099346893294,"NM_003175","","XCL1 /// XCL2","chemokine (C motif) ligand 1 /// chemokine (C motif) ligand 2"
"227873_at",0.0541471629563698,0.000112899434422061,4.40998290468821,1.22024325849273,0.911182303406734,"BE547587","","TXNDC15","thioredoxin domain containing 15"
"1560554_a_at",0.0492601599329023,8.82943881742007e-05,-4.49624209244553,1.20433060681966,-1.69643892615311,"BC027909","","C1orf145","chromosome 1 open reading frame 145"
"208901_s_at",0.0544824726928998,0.000115370378571923,4.40237369076537,1.16132720019361,0.828183075896209,"J03250","","TOP1","topoisomerase (DNA) I"
